Calibration,Run,Wafer,Run-Wafer,Etch Rate_B,Etch Rate_C,Etch Rate_D
2,22,106,22-Jan,623.96,559.81,626.79
2,22,106,22-Jan,604.24,595.83,608.73
2,22,107,22-Feb,623.57,576.54,579.58
2,22,107,22-Feb,637.27,596.59,598.24
2,22,107,22-Feb,602.54,577.50,642.10
2,22,107,22-Feb,610.96,565.42,634.75
2,22,108,22-Mar,618.05,576.17,600.70
2,22,108,22-Mar,588.33,578.38,606.97
2,22,108,22-Mar,624.84,571.46,617.34
2,22,108,22-Mar,588.61,568.30,551.63
2,22,109,22-Apr,616.26,604.50,644.16
2,22,109,22-Apr,609.23,591.00,595.72
2,22,109,22-Apr,634.37,575.37,635.32
2,22,109,22-Apr,605.97,559.34,665.20
2,22,110,22-May,620.70,579.46,621.02
2,22,110,22-May,626.02,576.26,593.12
2,22,110,22-May,599.70,566.62,562.38
2,22,110,22-May,632.91,585.18,583.83
2,23,111,23-Jan,618.86,592.45,557.70
2,23,111,23-Jan,609.37,588.94,579.40
2,23,111,23-Jan,601.83,625.27,580.92
2,23,111,23-Jan,618.79,610.90,610.32
2,23,112,23-Feb,627.05,587.31,659.18
2,23,112,23-Feb,619.11,604.94,633.75
2,23,112,23-Feb,624.46,590.49,644.85
2,23,112,23-Feb,581.03,626.62,606.22
2,23,113,23-Mar,622.08,582.19,593.24
2,23,113,23-Mar,619.24,607.23,655.05
2,23,113,23-Mar,636.33,593.80,599.59
2,23,113,23-Mar,602.16,597.06,626.17
2,23,114,23-Apr,601.33,603.08,618.21
2,23,114,23-Apr,591.92,586.20,599.94
2,23,114,23-Apr,607.58,594.69,615.51
2,23,114,23-Apr,613.66,586.59,635.90
2,23,115,23-May,604.91,573.95,546.45
2,23,115,23-May,612.75,591.52,547.43
2,23,115,23-May,614.17,611.79,636.29
2,23,115,23-May,608.63,660.22,675.44
2,24,116,24-Jan,623.17,585.70,607.21
2,24,116,24-Jan,614.68,552.21,600.96
2,24,116,24-Jan,617.96,595.19,596.31
2,24,116,24-Jan,611.18,575.82,644.43
2,24,117,24-Feb,592.43,541.74,602.60
2,24,117,24-Feb,614.49,559.67,591.81
2,24,117,24-Feb,613.15,571.05,580.04
2,24,117,24-Feb,646.32,547.40,634.01
2,24,118,24-Mar,626.99,579.90,575.79
2,24,118,24-Mar,631.50,597.88,586.66
2,24,118,24-Mar,603.02,575.32,631.66
2,24,118,24-Mar,588.22,586.72,643.78
2,24,119,24-Apr,618.19,612.79,550.85
2,24,119,24-Apr,623.83,599.30,626.70
2,24,119,24-Apr,612.54,577.04,578.61
2,24,119,24-Apr,615.90,579.99,618.39
2,24,120,24-May,618.49,565.79,614.23
2,24,120,24-May,628.18,594.32,617.29
2,24,120,24-May,595.84,558.12,637.45
2,24,120,24-May,627.65,561.34,736.92
2,25,121,25-Jan,599.39,605.51,618.21
2,25,121,25-Jan,611.10,590.48,569.80
2,25,121,25-Jan,624.32,624.80,611.63
2,25,121,25-Jan,609.46,575.18,611.04
2,25,122,25-Feb,613.08,596.06,592.52
2,25,122,25-Feb,629.07,579.09,644.43
2,25,122,25-Feb,615.09,599.72,571.12
2,25,122,25-Feb,614.54,590.78,605.98
2,25,123,25-Mar,606.75,586.28,635.69
2,25,123,25-Mar,608.77,572.27,616.53
2,25,123,25-Mar,596.66,556.51,637.73
2,25,123,25-Mar,604.73,567.68,587.08
2,25,124,25-Apr,600.84,615.06,642.43
2,25,124,25-Apr,607.82,601.03,596.47
2,25,124,25-Apr,604.24,627.33,579.03
2,25,124,25-Apr,639.23,574.07,677.47
2,25,125,25-May,620.89,578.59,562.24
2,25,125,25-May,611.27,596.94,596.11
2,25,125,25-May,591.05,600.82,580.87
2,25,125,25-May,625.61,595.12,607.61
2,26,126,26-Jan,597.53,572.39,587.92
2,26,126,26-Jan,591.27,586.37,640.40
2,26,126,26-Jan,598.63,630.66,595.97
2,26,126,26-Jan,609.42,588.25,580.48
2,26,127,26-Feb,595.11,588.95,597.65
2,26,127,26-Feb,607.51,611.04,617.76
2,26,127,26-Feb,635.23,591.35,594.27
2,26,127,26-Feb,600.28,593.87,606.09
2,26,128,26-Mar,602.83,594.83,610.99
2,26,128,26-Mar,621.98,600.49,609.16
2,26,128,26-Mar,623.17,583.23,602.74
2,26,128,26-Mar,594.41,609.00,629.24
2,26,129,26-Apr,621.56,594.62,507.89
2,26,129,26-Apr,639.10,578.47,584.17
2,26,129,26-Apr,613.81,549.36,610.78
2,26,129,26-Apr,578.66,609.29,643.35
2,26,130,26-May,591.14,607.46,658.90
2,26,130,26-May,583.17,606.02,619.14
2,26,130,26-May,587.60,587.89,619.01
2,26,130,26-May,602.28,595.41,539.45
2,27,131,27-Jan,640.37,564.12,655.07
2,27,131,27-Jan,605.16,565.05,628.89
2,27,131,27-Jan,596.96,591.04,602.31
2,27,131,27-Jan,608.84,594.01,636.28
2,27,132,27-Feb,608.10,579.81,646.69
2,27,132,27-Feb,607.59,580.17,593.62
